
============================================================
Phase 1: llama / arc
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 4.6/sec | ETA: 19.2m
  Phase1: 1750/5400 (32.4%) | 5.9/sec | ETA: 10.3m
  Phase1: 1800/5400 (33.3%) | 5.9/sec | ETA: 10.1m
  Phase1: 1850/5400 (34.3%) | 5.9/sec | ETA: 10.0m
  Phase1: 1900/5400 (35.2%) | 6.0/sec | ETA: 9.8m
  Phase1: 1950/5400 (36.1%) | 6.0/sec | ETA: 9.6m
  Phase1: 2000/5400 (37.0%) | 6.0/sec | ETA: 9.4m
  Phase1: 2050/5400 (38.0%) | 6.0/sec | ETA: 9.2m
  Phase1: 2100/5400 (38.9%) | 6.1/sec | ETA: 9.1m
  Phase1: 2150/5400 (39.8%) | 6.1/sec | ETA: 8.9m
  Phase1: 2200/5400 (40.7%) | 6.1/sec | ETA: 8.8m
  Phase1: 2250/5400 (41.7%) | 6.1/sec | ETA: 8.6m
  Phase1: 2300/5400 (42.6%) | 6.1/sec | ETA: 8.4m
  Phase1: 2350/5400 (43.5%) | 6.1/sec | ETA: 8.3m
  Phase1: 2400/5400 (44.4%) | 5.0/sec | ETA: 10.0m
  Phase1: 2450/5400 (45.4%) | 5.0/sec | ETA: 9.8m
  Phase1: 2500/5400 (46.3%) | 5.1/sec | ETA: 9.6m
  Phase1: 2550/5400 (47.2%) | 5.1/sec | ETA: 9.4m
  Phase1: 2600/5400 (48.1%) | 5.1/sec | ETA: 9.2m
  Phase1: 2650/5400 (49.1%) | 5.1/sec | ETA: 9.0m
  Phase1: 2700/5400 (50.0%) | 5.1/sec | ETA: 8.8m
  Phase1: 2750/5400 (50.9%) | 5.1/sec | ETA: 8.6m
  Phase1: 2800/5400 (51.9%) | 5.2/sec | ETA: 8.4m
  Phase1: 2850/5400 (52.8%) | 5.2/sec | ETA: 8.2m
  Phase1: 2900/5400 (53.7%) | 5.2/sec | ETA: 8.0m
  Phase1: 2950/5400 (54.6%) | 5.2/sec | ETA: 7.8m
  Phase1: 3000/5400 (55.6%) | 5.2/sec | ETA: 7.6m
  Phase1: 3050/5400 (56.5%) | 5.3/sec | ETA: 7.5m
  Phase1: 3100/5400 (57.4%) | 5.3/sec | ETA: 7.3m
  Phase1: 3150/5400 (58.3%) | 5.3/sec | ETA: 7.1m
  Phase1: 3200/5400 (59.3%) | 5.3/sec | ETA: 6.9m
  Phase1: 3250/5400 (60.2%) | 5.3/sec | ETA: 6.8m
  Phase1: 3300/5400 (61.1%) | 5.3/sec | ETA: 6.6m
  Phase1: 3350/5400 (62.0%) | 5.3/sec | ETA: 6.4m
  Phase1: 3400/5400 (63.0%) | 5.3/sec | ETA: 6.3m
  Phase1: 3450/5400 (63.9%) | 5.3/sec | ETA: 6.1m
  Phase1: 3500/5400 (64.8%) | 5.3/sec | ETA: 5.9m
  Phase1: 3550/5400 (65.7%) | 5.3/sec | ETA: 5.8m
  Phase1: 3600/5400 (66.7%) | 5.4/sec | ETA: 5.6m
  Phase1: 3650/5400 (67.6%) | 5.4/sec | ETA: 5.4m
  Phase1: 3700/5400 (68.5%) | 5.4/sec | ETA: 5.3m
  Phase1: 3750/5400 (69.4%) | 5.4/sec | ETA: 5.1m
  Phase1: 3800/5400 (70.4%) | 5.4/sec | ETA: 4.9m
  Phase1: 3850/5400 (71.3%) | 5.4/sec | ETA: 4.8m
  Phase1: 3900/5400 (72.2%) | 5.4/sec | ETA: 4.6m
  Phase1: 3950/5400 (73.1%) | 5.4/sec | ETA: 4.5m
  Phase1: 4000/5400 (74.1%) | 5.4/sec | ETA: 4.3m
  Phase1: 4050/5400 (75.0%) | 5.4/sec | ETA: 4.1m
  Phase1: 4100/5400 (75.9%) | 5.4/sec | ETA: 4.0m
  Phase1: 4150/5400 (76.9%) | 5.4/sec | ETA: 3.8m
  Phase1: 4200/5400 (77.8%) | 5.4/sec | ETA: 3.7m
  Phase1: 4250/5400 (78.7%) | 5.4/sec | ETA: 3.5m
  Phase1: 4300/5400 (79.6%) | 5.4/sec | ETA: 3.4m
  Phase1: 4350/5400 (80.6%) | 5.5/sec | ETA: 3.2m
  Phase1: 4400/5400 (81.5%) | 5.4/sec | ETA: 3.1m
  Phase1: 4450/5400 (82.4%) | 5.5/sec | ETA: 2.9m
  Phase1: 4500/5400 (83.3%) | 5.5/sec | ETA: 2.7m
  Phase1: 4550/5400 (84.3%) | 5.5/sec | ETA: 2.6m
  Phase1: 4600/5400 (85.2%) | 5.5/sec | ETA: 2.4m
  Phase1: 4650/5400 (86.1%) | 5.5/sec | ETA: 2.3m
  Phase1: 4700/5400 (87.0%) | 5.5/sec | ETA: 2.1m
  Phase1: 4750/5400 (88.0%) | 5.5/sec | ETA: 2.0m
  Phase1: 4800/5400 (88.9%) | 5.5/sec | ETA: 1.8m
  Phase1: 4850/5400 (89.8%) | 5.5/sec | ETA: 1.7m
  Phase1: 4900/5400 (90.7%) | 5.5/sec | ETA: 1.5m
  Phase1: 4950/5400 (91.7%) | 5.5/sec | ETA: 1.4m
  Phase1: 5000/5400 (92.6%) | 5.5/sec | ETA: 1.2m
  Phase1: 5050/5400 (93.5%) | 5.5/sec | ETA: 1.1m
  Phase1: 5100/5400 (94.4%) | 5.5/sec | ETA: 0.9m
  Phase1: 5150/5400 (95.4%) | 5.5/sec | ETA: 0.8m
  Phase1: 5200/5400 (96.3%) | 5.5/sec | ETA: 0.6m
  Phase1: 5250/5400 (97.2%) | 5.5/sec | ETA: 0.5m
  Phase1: 5300/5400 (98.1%) | 5.5/sec | ETA: 0.3m
  Phase1: 5350/5400 (99.1%) | 5.6/sec | ETA: 0.2m
  Phase1: 5400/5400 (100.0%) | 5.6/sec | ETA: 0.0m
Phase 1 done in 16.2m (5400 calls, 5.6/sec)
  Phase 2: 90 entries to rerun with max_tokens=1024
    Rerun: 50/90, fixed: 50
    Rerun: 90/90, fixed: 90
  Phase 2 done: fixed 90/90 in 0.9m
Final results saved to results_exp1/results_qwen72b_arc.json
Final None rate: 0/5400 (0.0%)


============================================================
Phase 1: qwen72b / mmlu
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 5.8/sec | ETA: 15.3m
  Phase1: 100/5400 (1.9%) | 5.4/sec | ETA: 16.4m
  Phase1: 150/5400 (2.8%) | 5.1/sec | ETA: 17.2m
  Phase1: 200/5400 (3.7%) | 5.0/sec | ETA: 17.4m
  Phase1: 250/5400 (4.6%) | 5.3/sec | ETA: 16.1m
  Phase1: 300/5400 (5.6%) | 5.6/sec | ETA: 15.3m
  Phase1: 350/5400 (6.5%) | 5.7/sec | ETA: 14.8m
  Phase1: 400/5400 (7.4%) | 5.7/sec | ETA: 14.6m
  Phase1: 450/5400 (8.3%) | 5.7/sec | ETA: 14.4m
  Phase1: 500/5400 (9.3%) | 5.7/sec | ETA: 14.2m
  Phase1: 550/5400 (10.2%) | 5.7/sec | ETA: 14.1m
  Phase1: 600/5400 (11.1%) | 5.7/sec | ETA: 13.9m
  Phase1: 650/5400 (12.0%) | 5.8/sec | ETA: 13.7m
  Phase1: 700/5400 (13.0%) | 5.8/sec | ETA: 13.5m
  Phase1: 750/5400 (13.9%) | 5.6/sec | ETA: 13.7m
  Phase1: 800/5400 (14.8%) | 5.7/sec | ETA: 13.5m
  Phase1: 850/5400 (15.7%) | 5.7/sec | ETA: 13.3m
  Phase1: 900/5400 (16.7%) | 5.7/sec | ETA: 13.2m
  Phase1: 950/5400 (17.6%) | 5.7/sec | ETA: 13.0m
  Phase1: 1000/5400 (18.5%) | 5.7/sec | ETA: 12.9m
  Phase1: 1050/5400 (19.4%) | 5.6/sec | ETA: 13.0m
  Phase1: 1100/5400 (20.4%) | 5.5/sec | ETA: 13.0m
  Phase1: 1150/5400 (21.3%) | 5.4/sec | ETA: 13.1m
  Phase1: 1200/5400 (22.2%) | 5.4/sec | ETA: 12.9m
  Phase1: 1250/5400 (23.1%) | 5.5/sec | ETA: 12.6m
  Phase1: 1300/5400 (24.1%) | 5.5/sec | ETA: 12.4m
  Phase1: 1350/5400 (25.0%) | 5.5/sec | ETA: 12.3m
  Phase1: 1400/5400 (25.9%) | 5.4/sec | ETA: 12.2m
  Phase1: 1450/5400 (26.9%) | 5.4/sec | ETA: 12.1m
  Phase1: 1500/5400 (27.8%) | 5.4/sec | ETA: 12.0m
  Phase1: 1550/5400 (28.7%) | 5.4/sec | ETA: 11.9m
  Phase1: 1600/5400 (29.6%) | 5.4/sec | ETA: 11.7m
  Phase1: 1650/5400 (30.6%) | 5.4/sec | ETA: 11.5m
  Phase1: 1700/5400 (31.5%) | 5.4/sec | ETA: 11.4m
  Phase1: 1750/5400 (32.4%) | 5.4/sec | ETA: 11.3m
  Phase1: 1800/5400 (33.3%) | 5.4/sec | ETA: 11.1m
  Phase1: 1850/5400 (34.3%) | 5.4/sec | ETA: 10.9m
  Phase1: 1900/5400 (35.2%) | 5.4/sec | ETA: 10.7m
  Phase1: 1950/5400 (36.1%) | 5.4/sec | ETA: 10.6m
  Phase1: 2000/5400 (37.0%) | 5.5/sec | ETA: 10.4m
  Phase1: 2050/5400 (38.0%) | 5.5/sec | ETA: 10.2m
  Phase1: 2100/5400 (38.9%) | 5.5/sec | ETA: 10.1m
  Phase1: 2150/5400 (39.8%) | 5.5/sec | ETA: 9.9m
  Phase1: 2200/5400 (40.7%) | 5.5/sec | ETA: 9.7m
  Phase1: 2250/5400 (41.7%) | 5.4/sec | ETA: 9.6m
  Phase1: 2300/5400 (42.6%) | 5.4/sec | ETA: 9.5m
  Phase1: 2350/5400 (43.5%) | 5.4/sec | ETA: 9.3m
  Phase1: 2400/5400 (44.4%) | 5.4/sec | ETA: 9.2m
  Phase1: 2450/5400 (45.4%) | 5.4/sec | ETA: 9.1m
  Phase1: 2500/5400 (46.3%) | 5.5/sec | ETA: 8.9m
  Phase1: 2550/5400 (47.2%) | 5.5/sec | ETA: 8.7m
  Phase1: 2600/5400 (48.1%) | 5.4/sec | ETA: 8.6m
  Phase1: 2650/5400 (49.1%) | 4.6/sec | ETA: 10.0m
  Phase1: 2700/5400 (50.0%) | 4.6/sec | ETA: 9.8m
  Phase1: 2750/5400 (50.9%) | 4.6/sec | ETA: 9.6m
  Phase1: 2800/5400 (51.9%) | 4.6/sec | ETA: 9.5m
  Phase1: 2850/5400 (52.8%) | 4.6/sec | ETA: 9.3m
  Phase1: 2900/5400 (53.7%) | 4.6/sec | ETA: 9.1m
  Phase1: 2950/5400 (54.6%) | 4.6/sec | ETA: 9.0m
  Phase1: 3000/5400 (55.6%) | 4.6/sec | ETA: 8.8m
  Phase1: 3050/5400 (56.5%) | 4.6/sec | ETA: 8.5m
  Phase1: 3100/5400 (57.4%) | 4.6/sec | ETA: 8.4m
  Phase1: 3150/5400 (58.3%) | 4.6/sec | ETA: 8.2m
  Phase1: 3200/5400 (59.3%) | 4.6/sec | ETA: 8.0m
  Phase1: 3250/5400 (60.2%) | 4.6/sec | ETA: 7.8m
  Phase1: 3300/5400 (61.1%) | 4.1/sec | ETA: 8.5m
  Phase1: 3350/5400 (62.0%) | 4.1/sec | ETA: 8.3m
  Phase1: 3400/5400 (63.0%) | 4.1/sec | ETA: 8.1m
  Phase1: 3450/5400 (63.9%) | 4.2/sec | ETA: 7.8m
  Phase1: 3500/5400 (64.8%) | 4.2/sec | ETA: 7.6m
  Phase1: 3550/5400 (65.7%) | 4.2/sec | ETA: 7.4m
  Phase1: 3600/5400 (66.7%) | 4.2/sec | ETA: 7.1m
  Phase1: 3650/5400 (67.6%) | 4.2/sec | ETA: 6.9m
  Phase1: 3700/5400 (68.5%) | 4.2/sec | ETA: 6.7m
  Phase1: 3750/5400 (69.4%) | 4.2/sec | ETA: 6.5m
  Phase1: 3800/5400 (70.4%) | 4.3/sec | ETA: 6.3m
  Phase1: 3850/5400 (71.3%) | 4.3/sec | ETA: 6.1m
  Phase1: 3900/5400 (72.2%) | 4.3/sec | ETA: 5.9m
  Phase1: 3950/5400 (73.1%) | 4.3/sec | ETA: 5.6m
  Phase1: 4000/5400 (74.1%) | 4.3/sec | ETA: 5.4m
  Phase1: 4050/5400 (75.0%) | 4.3/sec | ETA: 5.2m
  Phase1: 4100/5400 (75.9%) | 4.3/sec | ETA: 5.0m
  Phase1: 4150/5400 (76.9%) | 4.3/sec | ETA: 4.8m
  Phase1: 4200/5400 (77.8%) | 4.3/sec | ETA: 4.6m
  Phase1: 4250/5400 (78.7%) | 4.4/sec | ETA: 4.4m
  Phase1: 4300/5400 (79.6%) | 4.4/sec | ETA: 4.2m
  Phase1: 4350/5400 (80.6%) | 4.4/sec | ETA: 4.0m
  Phase1: 4400/5400 (81.5%) | 4.4/sec | ETA: 3.8m
  Phase1: 4450/5400 (82.4%) | 4.4/sec | ETA: 3.6m
  Phase1: 4500/5400 (83.3%) | 4.4/sec | ETA: 3.4m
  Phase1: 4550/5400 (84.3%) | 4.4/sec | ETA: 3.2m
  Phase1: 4600/5400 (85.2%) | 4.4/sec | ETA: 3.0m
  Phase1: 4650/5400 (86.1%) | 4.4/sec | ETA: 2.8m
  Phase1: 4700/5400 (87.0%) | 4.4/sec | ETA: 2.7m
  Phase1: 4750/5400 (88.0%) | 4.4/sec | ETA: 2.5m
  Phase1: 4800/5400 (88.9%) | 4.4/sec | ETA: 2.3m
  Phase1: 4850/5400 (89.8%) | 4.4/sec | ETA: 2.1m
  Phase1: 4900/5400 (90.7%) | 4.4/sec | ETA: 1.9m
  Phase1: 4950/5400 (91.7%) | 4.5/sec | ETA: 1.7m
  Phase1: 5000/5400 (92.6%) | 4.5/sec | ETA: 1.5m
  Phase1: 5050/5400 (93.5%) | 4.5/sec | ETA: 1.3m
  Phase1: 5100/5400 (94.4%) | 4.5/sec | ETA: 1.1m
  Phase1: 5150/5400 (95.4%) | 4.5/sec | ETA: 0.9m
  Phase1: 5200/5400 (96.3%) | 4.5/sec | ETA: 0.7m
  Phase1: 5250/5400 (97.2%) | 4.5/sec | ETA: 0.6m
  Phase1: 5300/5400 (98.1%) | 4.5/sec | ETA: 0.4m
  Phase1: 5350/5400 (99.1%) | 4.5/sec | ETA: 0.2m
  Phase1: 5400/5400 (100.0%) | 4.5/sec | ETA: 0.0m
Phase 1 done in 20.0m (5400 calls, 4.5/sec)
  Phase 2: 641 entries to rerun with max_tokens=1024
    Rerun: 50/641, fixed: 50
    Rerun: 100/641, fixed: 91
    Rerun: 150/641, fixed: 139
    Rerun: 200/641, fixed: 188
    Rerun: 250/641, fixed: 237
    Rerun: 300/641, fixed: 287
    Rerun: 350/641, fixed: 336
    Rerun: 400/641, fixed: 381
    Rerun: 450/641, fixed: 429
    Rerun: 500/641, fixed: 478
    Rerun: 550/641, fixed: 527
    Rerun: 600/641, fixed: 577
    Rerun: 641/641, fixed: 609
  Phase 2 done: fixed 609/641 in 12.0m
Final results saved to results_exp1/results_qwen72b_mmlu.json
Final None rate: 32/5400 (0.6%)

